STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,monsoon_total,winter_total,summer_total,annual_total
UTTAR PRADESH,SAHUJI MAHARA,17.3,12.0,8.6,3.5,8.1,88.0,275.3,315.5,207.1,36.7,7.8,6.4,885.9,29.3,20.2,986.3
UTTAR PRADESH,KANPUR DEHAT,13.5,11.4,5.5,2.7,6.3,70.7,237.0,289.6,167.7,44.4,2.9,5.5,765.0,24.9,14.5,857.2
UTTAR PRADESH,CHANDAULI,18.5,12.1,11.6,5.3,10.3,79.0,302.3,283.8,181.0,31.8,10.2,3.7,846.1,30.6,27.2,949.6
UTTAR PRADESH,SANT KABIR NGR,11.8,13.1,10.5,5.1,20.8,139.8,356.7,300.5,193.7,50.9,1.2,6.5,990.7,24.9,36.4,1110.6
UTTAR PRADESH,SANT RAVIDAS,18.5,12.1,11.6,5.3,10.3,79.0,302.3,283.8,181.0,31.8,10.2,3.7,846.1,30.6,27.2,949.6
UTTAR PRADESH,SHRAVASTI NGR,20.8,16.0,12.5,9.0,32.9,154.4,336.8,297.2,205.4,51.2,2.5,9.9,993.8,36.8,54.4,1148.6
UTTAR PRADESH,AGRA,17.5,9.9,8.9,4.0,9.3,53.8,227.1,280.9,125.4,28.1,5.0,4.7,687.2,27.4,22.2,774.6
UTTAR PRADESH,ALIGARH,19.5,12.6,9.4,5.6,18.4,47.4,213.1,261.9,133.3,39.0,4.2,6.6,655.7,32.1,33.4,771.0
UTTAR PRADESH,BAREILLY,20.3,18.9,12.6,5.6,18.7,96.6,294.7,296.7,165.8,57.9,2.4,6.4,853.8,39.2,36.9,996.6
UTTAR PRADESH,BIJNOR,34.2,25.0,24.1,8.2,19.1,92.0,342.4,321.0,158.8,40.0,6.4,11.9,914.2,59.2,51.4,1083.1
UTTAR PRADESH,BADAUN,13.4,16.1,11.7,3.7,14.5,69.4,252.4,292.7,143.5,58.8,2.7,5.9,758.0,29.5,29.9,884.8
UTTAR PRADESH,BULANDSHAHAR,16.2,13.2,13.1,3.9,14.0,53.4,224.5,254.4,138.4,36.2,4.2,7.5,670.7,29.4,31.0,779.0
UTTAR PRADESH,ETAH,13.0,12.0,9.9,4.4,11.6,52.1,201.5,243.1,118.6,41.6,2.3,4.3,615.3,25.0,25.9,714.4
UTTAR PRADESH,ETAWAH,13.9,11.7,8.9,2.8,10.5,60.9,222.0,293.4,151.7,45.0,2.9,5.9,728.0,25.6,22.2,829.6
UTTAR PRADESH,HAMIRPUR,16.1,11.5,5.3,2.1,6.7,76.3,246.6,309.8,164.2,33.3,3.9,6.0,796.9,27.6,14.1,881.8
UTTAR PRADESH,JALAUN,13.5,11.2,5.7,2.0,8.1,65.7,239.5,310.8,158.9,47.2,3.6,5.3,774.9,24.7,15.8,871.5
UTTAR PRADESH,JHANSI,14.1,10.5,5.3,4.7,8.7,79.0,271.8,309.9,177.2,37.2,6.6,6.5,837.9,24.6,18.7,931.5
UTTAR PRADESH,LALITPUR,21.0,9.4,6.5,3.4,6.8,86.2,321.7,358.1,173.3,34.1,6.7,7.4,939.3,30.4,16.7,1034.6
UTTAR PRADESH,MAINPURI,11.8,9.5,8.1,3.8,9.9,61.3,211.5,245.9,136.6,40.1,3.7,6.2,655.3,21.3,21.8,748.4
UTTAR PRADESH,MATHURA,9.3,11.2,9.5,4.5,9.5,41.3,194.7,241.6,102.3,23.6,3.8,4.6,579.9,20.5,23.5,655.9
UTTAR PRADESH,MEERUT,23.2,18.3,16.0,9.4,14.4,62.0,267.0,300.7,148.8,41.6,5.4,11.2,778.5,41.5,39.8,918.0
UTTAR PRADESH,MORADABAD,22.5,21.8,13.0,4.7,15.8,91.0,292.7,314.8,156.7,47.7,3.3,8.9,855.2,44.3,33.5,992.9
UTTAR PRADESH,MUZAFFARNAGAR,25.0,19.6,14.4,5.9,14.3,64.7,265.2,269.7,137.2,34.5,6.2,12.4,736.8,44.6,34.6,869.1
UTTAR PRADESH,PILIBHIT,20.9,16.9,14.3,5.8,23.0,112.7,326.5,343.5,205.9,73.6,4.4,7.9,988.6,37.8,43.1,1155.4
UTTAR PRADESH,RAMPUR,21.7,22.5,19.2,7.4,22.2,107.0,331.5,321.2,155.8,34.0,4.0,11.1,915.5,44.2,48.8,1057.6
UTTAR PRADESH,SAHARANPUR,26.9,26.5,21.3,5.7,21.2,94.6,277.0,301.6,131.4,34.5,8.3,14.9,804.6,53.4,48.2,963.9
UTTAR PRADESH,SHAHJAHANPUR,16.9,17.5,13.0,4.8,20.2,96.2,290.4,307.3,165.3,68.5,3.5,7.2,859.2,34.4,38.0,1010.8
UTTAR PRADESH,GHAZIABAD,19.6,18.3,18.0,6.1,12.5,44.6,213.5,255.6,128.0,37.0,5.0,8.1,641.7,37.9,36.6,766.3
UTTAR PRADESH,FIROZABAD,13.3,10.9,7.5,3.8,10.3,59.5,216.9,258.1,141.8,35.5,2.9,5.0,676.3,24.2,21.6,765.5
UTTAR PRADESH,MAHOBA,17.4,10.6,4.8,1.2,7.4,66.2,243.1,314.3,152.8,24.9,4.7,5.7,776.4,28.0,13.4,853.1
UTTAR PRADESH,MAHAMAYA NAGA,11.5,10.4,10.4,4.0,10.7,47.8,213.8,244.6,119.2,31.5,2.1,4.8,625.4,21.9,25.1,710.8
UTTAR PRADESH,AURAIYA,13.5,16.5,7.7,3.2,10.8,59.8,226.9,268.3,145.0,50.7,3.7,5.8,700.0,30.0,21.7,811.9
UTTAR PRADESH,BAGPAT,17.3,16.3,12.7,7.4,13.6,42.8,194.0,220.3,88.2,21.6,4.9,7.0,545.3,33.6,33.7,646.1
UTTAR PRADESH,JYOTIBA PHULE,22.8,15.7,15.9,4.4,13.9,59.7,279.3,298.5,145.5,48.6,5.3,7.8,783.0,38.5,34.2,917.4
UTTAR PRADESH,GAUTAM BUDDHA,19.2,9.3,12.4,5.0,6.0,36.9,181.7,228.6,125.6,35.8,3.4,5.4,572.8,28.5,23.4,669.3
UTTAR PRADESH,KANSHIRAM NAG,16.5,9.5,11.4,4.4,13.2,52.0,224.7,274.6,150.2,53.4,2.9,5.6,701.5,26.0,29.0,818.4
UTTARANCHAL,ALMORA,46.2,46.8,47.4,25.5,46.7,132.3,299.9,276.9,149.3,57.2,8.1,21.0,858.4,93.0,119.6,1157.3
UTTARANCHAL,CHAMOLI,57.5,77.7,81.9,42.9,69.4,108.7,289.6,329.2,131.8,43.5,10.2,24.6,859.3,135.2,194.2,1267.0
UTTARANCHAL,DEHRADUN,51.7,49.3,49.8,24.2,50.8,185.2,683.3,673.9,259.7,62.6,12.9,20.5,1802.1,101.0,124.8,2123.9
UTTARANCHAL,GARHWAL PAURI,43.1,33.2,35.5,19.4,38.3,123.5,452.5,443.7,193.8,55.7,7.4,17.9,1213.5,76.3,93.2,1464.0
UTTARANCHAL,NAINITAL,46.0,41.0,37.7,20.9,54.4,205.0,514.0,458.3,261.8,82.2,6.5,15.9,1439.1,87.0,113.0,1743.7
UTTARANCHAL,PITHORAGARH,50.3,57.4,65.6,46.2,93.5,299.6,555.8,538.9,293.6,65.3,12.5,19.3,1687.9,107.7,205.3,2098.0
UTTARANCHAL,GARHWAL TEHRI,54.6,52.2,56.3,31.7,55.9,136.2,371.5,366.7,172.7,48.4,10.3,28.5,1047.1,106.8,143.9,1385.0
UTTARANCHAL,UTTARKASHI,70.9,72.8,84.9,48.5,102.1,147.6,380.6,405.2,215.2,59.6,13.3,25.0,1148.6,143.7,235.5,1625.7
UTTARANCHAL,HARIDWAR,33.0,35.9,30.4,12.2,21.8,105.7,332.4,367.0,156.8,29.7,4.4,14.6,961.9,68.9,64.4,1143.9
UTTARANCHAL,CHAMPAWAT,43.5,39.3,33.7,26.9,52.5,213.1,465.9,406.3,234.4,77.4,8.2,22.7,1319.7,82.8,113.1,1623.9
UTTARANCHAL,RUDRAPRAYAG,75.6,73.3,85.4,54.7,94.1,217.7,578.0,639.4,236.0,52.6,13.7,30.4,1671.1,148.9,234.2,2150.9
UTTARANCHAL,UDHAM SINGH N,30.0,19.0,15.7,9.0,32.9,147.4,402.9,365.8,203.8,73.5,4.5,9.4,1119.9,49.0,57.6,1313.9
UTTARANCHAL,BAGESHWAR,46.2,46.8,47.4,25.5,46.7,132.3,299.9,276.9,149.3,57.2,8.1,21.0,858.4,93.0,119.6,1157.3
HARYANA,AMBALA,38.9,31.6,25.3,7.7,20.5,105.2,307.8,326.0,177.6,34.4,8.8,20.9,916.6,70.5,53.5,1104.7
HARYANA,GURGAON,10.2,11.7,7.0,6.4,13.9,38.0,169.0,185.2,80.1,12.7,5.5,4.3,472.3,21.9,27.3,544.0
HARYANA,HISAR,11.0,12.2,9.7,7.4,14.5,35.1,118.8,113.8,57.4,13.0,4.5,4.0,325.1,23.2,31.6,401.4
HARYANA,JIND,16.4,18.7,12.4,5.4,14.9,40.7,142.3,147.0,85.6,15.8,5.1,4.8,415.6,35.1,32.7,509.1
HARYANA,KARNAL,30.3,21.4,19.4,8.9,13.1,60.3,197.8,224.3,94.6,26.2,5.9,12.2,577.0,51.7,41.4,714.4
HARYANA,MAHENDRAGARH,11.8,10.9,9.4,5.3,18.9,43.5,154.3,144.4,53.2,14.1,3.5,6.9,395.4,22.7,33.6,476.2
HARYANA,ROHTAK,19.3,16.8,17.7,9.3,19.8,49.5,194.1,195.8,68.6,13.4,5.8,7.9,508.0,36.1,46.8,618.0
HARYANA,BHIWANI,14.6,10.4,8.1,5.5,11.2,32.3,128.2,132.0,56.0,13.4,4.2,3.6,348.5,25.0,24.8,419.5
HARYANA,FARIDABAD,16.5,12.3,10.4,10.7,16.1,42.2,201.6,234.7,121.7,18.7,6.0,6.7,600.2,28.8,37.2,697.6
HARYANA,KURUKSHETRA,28.7,19.4,21.5,9.8,10.2,66.3,202.3,203.3,91.1,23.5,5.2,10.1,563.0,48.1,41.5,691.4
HARYANA,SIRSA,11.0,11.6,10.1,5.5,12.1,23.0,99.8,81.7,37.6,13.4,4.9,2.8,242.1,22.6,27.7,313.5
HARYANA,SONEPAT(RTK),19.4,15.6,14.4,9.6,16.7,46.2,194.4,208.5,85.2,20.4,5.9,7.9,534.3,35.0,40.7,644.2
HARYANA,YAMUNANAGAR,42.5,34.9,31.9,15.1,26.4,117.8,304.4,325.4,144.5,36.0,6.8,21.3,892.1,77.4,73.4,1107.0
